"","7/7/2013","7/14/2013","7/21/2013","7/28/2013","8/4/2013","8/11/2013","8/18/2013","8/25/2013","9/1/2013","9/8/2013","9/15/2013","9/22/2013","9/29/2013","10/6/2013","10/13/2013","10/20/2013","10/27/2013","11/3/2013","11/10/2013","11/17/2013","11/24/2013","12/1/2013","12/8/2013","12/15/2013","12/22/2013","12/29/2013","1/5/2014","1/12/2014","1/19/2014","1/26/2014","2/2/2014","2/9/2014","2/16/2014","2/23/2014","3/2/2014","3/9/2014","3/16/2014","3/23/2014","3/30/2014","4/6/2014","4/13/2014","4/20/2014","4/27/2014","5/4/2014","5/11/2014","5/18/2014","5/25/2014","6/1/2014","6/8/2014","6/15/2014","6/22/2014","6/29/2014"
"NJ",689,635,759,560,665,691,738,558,743,898,920,1154,1059,945,864,1091,999,1087,1031,1097,1171,1236,1280,1423,2719,3341,3084,3849,3345,3202,2706,2207,1874,1818,1796,1722,1817,2343,2486,2679,2046,1581,1475,1240,1104,933,1325,1025,847,1079,888,778
"NM",1182,1214,1192,1529,1368,1163,1120,1235,1834,2188,2035,2034,2037,1822,1694,1660,1999,2280,2153,2270,2261,2134,2535,3954,6332,5833,7034,6685,6497,4983,5542,3997,2972,2711,3039,2512,3002,3639,3123,3016,2867,2949,2640,2300,3237,3095,3112,2654,2642,2152,1771,1798
"NY",727,659,720,560,669,651,649,728,787,799,1076,1200,1247,1084,1129,1092,1076,1063,1086,1182,1085,1351,1386,1967,3091,3407,3592,3744,3318,3268,2902,2400,2145,1646,1863,1839,2146,2480,2624,2499,2208,1509,1364,1244,1125,1124,950,896,834,917,681,726
"NC",580,578,574,626,638,685,580,627,866,790,829,959,916,766,980,1057,1012,1182,1258,1343,1428,1873,2018,3252,4933,4960,4614,4264,3735,3231,2135,1708,1605,1884,1512,1235,1290,1307,1371,1283,1051,1139,1063,862,802,996,731,832,819,620,755,844
"ND",403,383,379,530,506,476,440,482,532,490,606,590,565,552,557,532,522,539,504,635,815,878,944,1143,3661,3250,3075,2821,2492,1992,1894,1668,1443,1203,984,935,1133,939,900,798,746,671,672,599,582,572,627,614,593,569,586,548
"OH",668,600,706,461,478,594,673,646,797,897,860,900,963,972,941,944,965,1194,1131,1220,1077,1303,1388,2211,3032,3561,3338,3218,3008,2197,2039,1640,1593,1727,1533,1269,1188,1180,1250,1218,1131,1082,929,1040,874,819,948,823,806,662,527,631
"OR",662,662,671,545,582,536,746,551,750,572,824,1034,1367,967,1194,958,1202,1096,1069,1369,1371,1587,1889,2766,5004,6023,6333,6014,4569,3793,2585,2057,1666,1575,1401,1156,1165,1281,1249,1551,1393,1141,1201,1154,876,569,1065,743,793,608,529,752
"PA",1202,1182,1313,929,1002,1049,1059,1208,1332,1401,1533,1424,1637,1516,1585,1650,1624,1672,1569,1693,1543,1827,1843,2467,3271,3898,3876,4144,3752,3503,3133,2569,2602,2243,2255,2156,2004,2200,2169,2237,1961,1842,1704,1637,1553,1380,1383,1281,1309,1213,1142,1076
"SD",345,332,323,581,510,457,418,451,415,431,468,416,400,494,568,596,521,594,648,651,634,759,790,869,3187,3426,3283,2834,2332,1842,1397,1317,1309,1004,947,774,754,741,709,675,629,524,463,489,476,501,494,577,572,553,540,511
"TN",701,645,676,886,902,1109,1073,1023,951,1297,1079,1143,1323,1482,1145,1128,1439,1271,1439,1904,1915,2798,2665,5276,7123,6669,5414,4979,4157,3329,2476,2146,1868,1687,1300,1285,1160,1377,1214,1076,992,1066,1028,842,873,1007,682,710,723,615,569,562
"TX",1436,1354,1437,1262,1318,1296,1234,1275,1589,1657,1857,2041,2024,2052,1955,2206,2301,2337,2766,3036,3148,3972,4694,8268,10491,9767,9443,7787,6368,4994,3950,3371,3570,2840,2630,2917,2764,2587,2546,2440,2287,2581,2128,2138,1994,2087,1934,1811,1668,1539,1482,1524
"UT",420,386,383,434,420,709,551,446,511,618,863,807,587,897,627,699,766,795,841,634,1242,1144,1659,2109,3678,3650,2599,2394,1806,1484,1312,1082,1066,715,755,689,787,682,653,613,725,540,723,779,746,901,959,738,777,630,531,477
"VT",366,361,356,421,396,385,407,407,428,428,529,592,691,715,717,625,540,520,481,480,485,701,741,652,864,2324,2650,3028,2730,3098,3029,2530,1756,1358,1182,1121,1148,934,823,829,916,1257,1153,945,893,821,760,757,694,649,567,547
"VA",1252,1268,1288,1095,1208,1343,1146,1133,1447,1709,2033,1722,1547,1595,1585,1672,1749,1735,1868,1916,1771,2111,2105,2773,3472,4082,4393,4705,4274,3692,3520,3112,2814,2438,2227,2131,2019,1993,2110,2032,1961,1810,1954,2120,2145,1951,1875,1559,1454,1395,1420,1367
"WA",768,735,761,700,497,559,654,611,684,847,972,1031,1157,1296,1123,1312,1070,1140,1086,1006,1106,1513,1801,2629,4191,4689,5236,4135,3403,2909,2214,2083,1817,1558,1422,1280,1181,1106,1066,979,916,907,1105,1040,1144,879,667,780,759,736,800,610
"WV",1163,1169,1170,1074,996,982,933,1088,1359,1272,1508,1538,1970,2007,1841,1681,1676,1879,2363,1944,1711,1704,2140,2863,4603,4848,4789,5316,4683,3860,3175,2868,2921,2941,2659,2257,2153,2043,1998,1813,1742,1572,1573,1814,1994,1916,1793,1609,1551,1459,1318,1301
"WY",400,383,362,475,441,418,444,407,435,490,455,433,441,450,450,517,556,666,697,703,813,683,743,1341,3156,4251,3650,3115,2370,1779,1398,1288,1241,1073,1112,935,862,801,724,722,626,581,540,518,509,505,488,471,501,490,490,476
